id,title,is_premium,difficulty,acceptance_rate,accepted,submissions,companies,related_topics,likes,dislikes,rating,asked_by_faang,topics_list,topic_count,companies_list,company_count,difficulty_score,estimated_time,problem_value,normalized_likes,normalized_topic_count,normalized_company_count,popularity_score
1,Two Sum,0,Easy,46.7,4.1M,8.7M,"Amazon,Google,Apple,Adobe,Microsoft,Bloomberg,Facebook,Oracle,Uber,Expedia,Twitter,Nagarro,SAP,Yahoo,Cisco,Qualcomm,tcs,Goldman Sachs,Yandex,ServiceNow","Array,Hash Table",20217,712,97,1,"['Array', 'Hash Table']",2,"['Amazon', 'Google', 'Apple', 'Adobe', 'Microsoft', 'Bloomberg', 'Facebook', 'Oracle', 'Uber', 'Expedia', 'Twitter', 'Cisco', 'Goldman Sachs', 'Yandex']",14,1,10,51.1819116135663,1.0,0.4,0.875,0.8800000000000001
2,Add Two Numbers,0,Medium,35.7,1.9M,5.2M,"Bloomberg,Microsoft,Amazon,Google,Facebook,Apple,Adobe,Paypal,Coupang,Oracle,Uber,VMware,Yahoo","Linked List,Math,Recursion",11350,2704,81,1,"['Linked List', 'Math', 'Recursion']",3,"['Bloomberg', 'Microsoft', 'Amazon', 'Google', 'Facebook', 'Apple', 'Adobe', 'Paypal', 'Oracle', 'Uber', 'VMware']",11,2,20,42.95991778006167,0.561408715437503,0.6,0.6875,0.7007043577187515
3,Longest Substring Without Repeating Characters,0,Medium,31.5,2.1M,6.7M,"Amazon,Bloomberg,Microsoft,Facebook,Apple,Adobe,eBay,Goldman Sachs,Google,Alation,VMware,Oracle,ByteDance,Yahoo,Uber,SAP,Salesforce,Coupang,Splunk,Spotify","Hash Table,Two Pointers,String,Sliding Window",13810,714,95,1,"['Hash Table', 'Two Pointers', 'String', 'Sliding Window']",4,"['Amazon', 'Bloomberg', 'Microsoft', 'Facebook', 'Apple', 'Adobe', 'eBay', 'Goldman Sachs', 'Google', 'VMware', 'Oracle', 'ByteDance', 'Uber']",13,2,20,41.726618705035975,0.6830884898847505,0.8,0.8125,0.8015442449423752
5,Longest Palindromic Substring,0,Medium,30.6,1.3M,4.1M,"Amazon,Microsoft,Wayfair,Facebook,Adobe,eBay,Google,Oracle,Goldman Sachs,Yandex,Qualcomm","String,Dynamic Programming",10271,670,94,1,"['String', 'Dynamic Programming']",2,"['Amazon', 'Microsoft', 'Facebook', 'Adobe', 'eBay', 'Google', 'Oracle', 'Goldman Sachs', 'Yandex']",9,2,20,34.635149023638235,0.5080377899787307,0.4,0.5625,0.6340188949893655
7,Reverse Integer,0,Easy,25.9,1.5M,5.7M,"Amazon,Google,Apple,Facebook,Bloomberg,American Express,Microsoft,Adobe,Uber",Math,4548,6971,39,1,['Math'],1,"['Amazon', 'Google', 'Apple', 'Facebook', 'Bloomberg', 'Microsoft', 'Adobe', 'Uber']",8,1,10,26.721479958890026,0.22495919275856952,0.2,0.5,0.4524795963792848
8,String to Integer (atoi),0,Medium,15.7,716.1K,4.6M,"Facebook,Amazon,Microsoft,Google,Goldman Sachs,Apple,Adobe,Bloomberg,Intel","Math,String",189,479,28,1,"['Math', 'String']",2,"['Facebook', 'Amazon', 'Microsoft', 'Google', 'Goldman Sachs', 'Apple', 'Adobe', 'Bloomberg']",8,2,20,19.32168550873587,0.009348568036800712,0.4,0.5,0.38467428401840037
9,Palindrome Number,0,Easy,50.0,1.2M,2.4M,"Microsoft,Adobe,Bloomberg,Facebook,Google,Yahoo",Math,3199,1724,65,1,['Math'],1,"['Microsoft', 'Adobe', 'Bloomberg', 'Facebook', 'Google']",5,1,10,51.49023638232271,0.1582331701043676,0.2,0.3125,0.41911658505218385
11,Container With Most Water,0,Medium,52.9,912.2K,1.7M,"Amazon,Google,Microsoft,Facebook,Goldman Sachs,Adobe,Apple","Array,Two Pointers",9031,696,93,1,"['Array', 'Two Pointers']",2,"['Amazon', 'Google', 'Microsoft', 'Facebook', 'Goldman Sachs', 'Adobe', 'Apple']",7,2,20,57.55395683453237,0.4467032695256467,0.4,0.4375,0.6033516347628234
12,Integer to Roman,0,Medium,57.1,474.6K,831.1K,"Amazon,Bloomberg,Microsoft,Adobe,Google,Apple,Oracle","Math,String",1675,3112,35,1,"['Math', 'String']",2,"['Amazon', 'Bloomberg', 'Microsoft', 'Adobe', 'Google', 'Apple', 'Oracle']",7,2,20,61.87050359712231,0.08285106593460949,0.4,0.4375,0.42142553296730473
13,Roman to Integer,0,Easy,57.0,947.4K,1.7M,"Amazon,Roblox,Microsoft,Adobe,Facebook,LinkedIn,Google,Apple,Uber,Qualtrics,Oracle,eBay","Math,String",419,40,91,1,"['Math', 'String']",2,"['Amazon', 'Microsoft', 'Adobe', 'Facebook', 'LinkedIn', 'Google', 'Apple', 'Uber', 'Qualtrics', 'Oracle', 'eBay']",11,1,10,61.7677286742035,0.02072513231438888,0.4,0.6875,0.39036256615719445
14,Longest Common Prefix,0,Easy,36.2,991.1K,2.7M,"Facebook,Adobe,Amazon,Apple,Bloomberg,Microsoft,Yahoo,Google",String,3958,2192,64,1,['String'],1,"['Facebook', 'Adobe', 'Amazon', 'Apple', 'Bloomberg', 'Microsoft', 'Google']",7,1,10,37.30729701952724,0.19577583222040856,0.2,0.4375,0.4378879161102043
15,3Sum,0,Medium,28.3,1.3M,4.4M,"Amazon,Facebook,Microsoft,Bloomberg,Apple,Adobe,VMware,Google,Cisco,Tesla,Goldman Sachs,eBay","Array,Two Pointers",10032,1035,91,1,"['Array', 'Two Pointers']",2,"['Amazon', 'Facebook', 'Microsoft', 'Bloomberg', 'Apple', 'Adobe', 'VMware', 'Google', 'Cisco', 'Goldman Sachs', 'eBay']",11,2,20,32.27132579650565,0.4962160557946283,0.4,0.6875,0.6281080278973141
16,3Sum Closest,0,Medium,46.3,571.3K,1.2M,"Amazon,Apple,Google,Facebook,Bloomberg","Array,Two Pointers",3095,169,95,1,"['Array', 'Two Pointers']",2,"['Amazon', 'Apple', 'Google', 'Facebook', 'Bloomberg']",5,2,20,50.77081192189107,0.15308898451797992,0.4,0.3125,0.45654449225898996
17,Letter Combinations of a Phone Number,0,Medium,49.5,795.7K,1.6M,"Amazon,Microsoft,Twilio,Facebook,Capital One,eBay,Google,Uber,Apple,Oracle,JPMorgan,Morgan Stanley,Tesla,Qualtrics,Samsung","String,Backtracking,Depth-first Search,Recursion",5684,509,92,1,"['String', 'Backtracking', 'Depth-first Search', 'Recursion']",4,"['Amazon', 'Microsoft', 'Facebook', 'eBay', 'Google', 'Uber', 'Apple', 'Oracle', 'Qualtrics']",9,2,20,60.22610483042138,0.28114952762526585,0.8,0.5625,0.600574763812633
19,Remove Nth Node From End of List,0,Medium,35.9,829.5K,2.3M,"Facebook,Amazon,Microsoft,Bloomberg,Apple","Linked List,Two Pointers",5039,298,94,1,"['Linked List', 'Two Pointers']",2,"['Facebook', 'Amazon', 'Microsoft', 'Bloomberg', 'Apple']",5,2,20,40.08221993833504,0.24924568432507296,0.4,0.3125,0.5046228421625365
20,Valid Parentheses,0,Easy,40.0,1.4M,3.4M,"Amazon,Bloomberg,Facebook,Apple,Microsoft,Expedia,Spotify,Google,LinkedIn,Goldman Sachs,Oracle,IBM,JPMorgan,Intuit,Paypal,Atlassian,eBay,Adobe,ServiceNow,Qualcomm","String,Stack",7188,294,96,1,"['String', 'Stack']",2,"['Amazon', 'Bloomberg', 'Facebook', 'Apple', 'Microsoft', 'Expedia', 'Google', 'LinkedIn', 'Goldman Sachs', 'Oracle', 'Paypal', 'eBay', 'Adobe']",13,1,10,44.29599177800616,0.3555423653361033,0.4,0.8125,0.5577711826680516
21,Merge Two Sorted Lists,0,Easy,56.4,1.4M,2.4M,"Amazon,Adobe,Bloomberg,Capital One,Facebook,Microsoft,Oracle,LinkedIn,Uber,VMware,IBM,ByteDance","Linked List,Recursion",6467,753,90,1,"['Linked List', 'Recursion']",2,"['Amazon', 'Adobe', 'Bloomberg', 'Facebook', 'Microsoft', 'Oracle', 'LinkedIn', 'Uber', 'VMware', 'ByteDance']",10,1,10,61.151079136690655,0.31987930949201165,0.4,0.625,0.5399396547460058
22,Generate Parentheses,0,Medium,65.7,714.5K,1.1M,"Microsoft,Facebook,Google,Bloomberg,Amazon,Apple,Adobe,Walmart Labs,ByteDance,Nvidia,Oracle","String,Backtracking",7496,322,96,1,"['String', 'Backtracking']",2,"['Microsoft', 'Facebook', 'Google', 'Bloomberg', 'Amazon', 'Apple', 'Adobe', 'ByteDance', 'Oracle']",9,2,20,70.70914696813978,0.3707770688034822,0.4,0.5625,0.5653885344017411
24,Swap Nodes in Pairs,0,Medium,53.5,594.5K,1.1M,"Microsoft,Amazon,Facebook,Google,eBay,ByteDance","Linked List,Recursion",3482,209,94,1,"['Linked List', 'Recursion']",2,"['Microsoft', 'Amazon', 'Facebook', 'Google', 'eBay', 'ByteDance']",6,2,20,58.17060637204523,0.17223129049809566,0.4,0.375,0.46611564524904786
26,Remove Duplicates from Sorted Array,0,Easy,46.8,1.4M,2.9M,"Google,Facebook,Amazon,Microsoft","Array,Two Pointers",3727,6758,36,1,"['Array', 'Two Pointers']",2,"['Google', 'Facebook', 'Amazon', 'Microsoft']",4,1,10,51.28468653648508,0.18434980461987435,0.4,0.25,0.4721749023099372
31,Next Permutation,0,Medium,33.9,497.7K,1.5M,"Facebook,Amazon,Google,Microsoft,Rubrik,Bloomberg,Apple,Morgan Stanley,Goldman Sachs,Atlassian,tcs",Array,5271,1811,74,1,['Array'],1,"['Facebook', 'Amazon', 'Google', 'Microsoft', 'Bloomberg', 'Apple', 'Goldman Sachs']",7,2,20,34.943473792394656,0.2607211752485532,0.2,0.4375,0.47036058762427657
33,Search in Rotated Sorted Array,0,Medium,36.1,960.2K,2.7M,"Amazon,Facebook,Microsoft,LinkedIn,Oracle,Apple,Bloomberg,Nvidia,Expedia,Google,Adobe,Zillow,ByteDance,eBay,Cisco,ServiceNow,C3 IoT","Array,Binary Search",7349,644,92,1,"['Array', 'Binary Search']",2,"['Amazon', 'Facebook', 'Microsoft', 'LinkedIn', 'Oracle', 'Apple', 'Bloomberg', 'Expedia', 'Google', 'Adobe', 'ByteDance', 'eBay', 'Cisco']",13,2,20,40.28776978417267,0.363505960330415,0.4,0.8125,0.5617529801652075
34,Find First and Last Position of Element in Sorted Array,0,Medium,37.5,677.5K,1.8M,"Facebook,Amazon,Uber,Google,Microsoft,LinkedIn,Bloomberg,Snapchat,Oracle","Array,Binary Search",5257,201,96,1,"['Array', 'Binary Search']",2,"['Facebook', 'Amazon', 'Uber', 'Google', 'Microsoft', 'LinkedIn', 'Bloomberg', 'Snapchat', 'Oracle']",9,2,20,41.72661870503596,0.2600286887273087,0.4,0.5625,0.5100143443636544
36,Valid Sudoku,0,Medium,50.8,464.9K,914.2K,"Amazon,Roblox,Uber,Apple,Facebook,Goldman Sachs,Oracle",Hash Table,2458,550,82,1,['Hash Table'],1,"['Amazon', 'Uber', 'Apple', 'Facebook', 'Goldman Sachs', 'Oracle']",6,2,20,52.31243576567317,0.1215808478013553,0.2,0.375,0.40079042390067765
38,Count and Say,0,Medium,46.3,493K,1.1M,"Bloomberg,Facebook,Amazon,Microsoft,Apple,Epic Systems,Tesla",String,367,1314,22,1,['String'],1,"['Bloomberg', 'Facebook', 'Amazon', 'Microsoft', 'Apple']",5,2,20,47.687564234326814,0.018153039521195034,0.2,0.3125,0.3490765197605975
39,Combination Sum,0,Medium,59.7,711.7K,1.2M,"Facebook,Airbnb,Microsoft,Bloomberg,Amazon,Apple,Uber,Adobe,eBay,Citadel,ByteDance","Array,Backtracking",5708,150,97,1,"['Array', 'Backtracking']",2,"['Facebook', 'Microsoft', 'Bloomberg', 'Amazon', 'Apple', 'Uber', 'Adobe', 'eBay', 'ByteDance']",9,2,20,64.5426515930113,0.2823366473759707,0.4,0.5625,0.5211683236879854
43,Multiply Strings,0,Medium,35.1,360.6K,1M,"Facebook,Microsoft,Amazon,Square,Apple,Bloomberg,Two Sigma,ByteDance","Math,String",2400,976,71,1,"['Math', 'String']",2,"['Facebook', 'Microsoft', 'Amazon', 'Apple', 'Bloomberg', 'ByteDance']",6,2,20,39.26002055498459,0.11871197507048524,0.4,0.375,0.43935598753524263
46,Permutations,0,Medium,67.1,790.1K,1.2M,"Facebook,Amazon,ByteDance,LinkedIn,Apple,eBay,Microsoft,Paypal,Oracle",Backtracking,5749,131,98,1,['Backtracking'],1,"['Facebook', 'Amazon', 'ByteDance', 'LinkedIn', 'Apple', 'eBay', 'Microsoft', 'Paypal', 'Oracle']",9,2,20,69.06474820143885,0.2843646436167582,0.2,0.5625,0.48218232180837906
47,Permutations II,0,Medium,49.8,445.9K,895.6K,"Facebook,Amazon,Microsoft",Backtracking,2871,78,97,1,['Backtracking'],1,"['Facebook', 'Amazon', 'Microsoft']",3,2,20,51.2846865364851,0.14200920017806795,0.2,0.1875,0.41100460008903394
